Unnamed: 0;2019;2020;2021
&nbspLPA;1.10;0.63;0.57
&nbspP/L;26.56;47.02;58.01
&nbspVPA;4.61;4.96;4.97
&nbspP/VP;6.32;5.94;6.62
&nbspP/EBIT;23.39;33.94;41.35
&nbspP/EBITDA;21.36;26.42;31.50
&nbspP/Ativos;3.66;3.25;3.91
&nbspEbitda;322;263;247
&nbspMarg. Ebitda;43%;25%;23%
&nbspPSR;9.18;6.65;7.34
&nbspROE;24%;13%;11%
&nbspROA;14%;7%;7%
&nbspROIC;21%;13%;12%
&nbspEV/EBIT;25.54;36.72;40.56
&nbspEV/EBITDA;23.32;28.58;30.90
&nbspDiv. Yield;0,58%;0,37%;0,49%
&nbspDiv. Payout;1%;24%;26%
&nbspBeta;0.34;1.34;0.97
&nbspValorização;21%;1%;16%
&nbspNegócios/dia;4638;6369;4912
&nbspVolume diário;49;38;30
