Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.40;-1.38;-0.84;-0.69;-0.77;-80.50;-27.68;-0.44;-4.72;-1.87;-1.74
&nbspP/L;-5.01;-0.46;-0.30;-0.14;-0.04;-0.02;-0.07;-1.06;-0.54;-0.69;-2.53
&nbspVPA;3.52;1.76;0.94;0.24;-0.54;-118.43;-15.12;0.10;-2.88;-2.34;-2.34
&nbspP/VP;0.57;0.36;0.27;0.41;-0.06;-0.01;-0.12;4.55;-0.89;-0.55;-1.88
&nbspP/EBIT;-10.77;-0.61;-0.62;-0.22;-0.06;-0.03;-0.08;-2.46;-0.72;-0.85;-3.14
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.87;-3.13
&nbspP/Ativos;0.18;0.08;0.04;0.02;0.01;0.01;0.01;0.32;0.23;0.38;1.40
&nbspEbitda;0;0;0;0;0;0;0;0;0;-143;-136
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;-326%;-235%
&nbspPSR;0.78;0.64;0.16;0.21;0.09;-0.39;1.55;2.46;-0.82;2.82;7.36
&nbspROE;-11%;-78%;-89%;-286%;141%;68%;183%;-428%;164%;80%;74%
&nbspROA;-4%;-18%;-14%;-15%;-20%;-35%;-14%;-30%;-43%;-56%;-55%
&nbspROIC;-2%;-15%;-8%;-10%;-12%;-26%;-12%;-13%;-33%;-51%;-51%
&nbspEV/EBIT;-27.28;-4.41;-9.64;-9.20;-9.39;-6.02;-10.61;-8.55;-3.98;-4.44;-4.96
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-4.52;-4.95
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.48;0.00;0.42;0.73;0.46;-8.40;0.57;0.14;1.19;1.22;0.47
&nbspValorização;-30%;-68%;-65%;-58%;-70%;5.100%;15%;-74%;-42%;-54%;249%
&nbspNegócios/dia;461;124;207;125;41;79;106;1043;865;715;5011
&nbspVolume diário;1;1;1;0;0;0;0;4;3;2;26
