Unnamed: 0;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.07;3.09;3.36;2.19;3.22;4.42;5.17;5.57;4.68;4.79;4.30;4.58;3.88;3.97;3.31;4.40;2.03;2.42;2.73;5.28;2.96;2.82;2.70
&nbspP/L;12.09;6.03;7.49;10.38;11.34;10.52;7.25;8.50;9.95;7.73;8.83;8.57;12.31;11.01;12.09;9.08;16.78;15.06;15.11;7.82;16.58;16.48;15.73
&nbspVPA;28.15;29.26;29.73;29.34;24.86;23.09;20.74;20.97;19.58;19.86;19.88;23.06;38.55;39.78;38.19;40.02;40.60;40.95;41.08;42.35;41.67;41.13;41.41
&nbspP/VP;0.89;0.64;0.85;0.77;1.47;2.01;1.81;2.26;2.37;1.86;1.91;1.70;1.24;1.10;1.05;1.00;0.84;0.89;1.00;0.98;1.18;1.13;1.02
&nbspP/EBIT;12.52;4.59;5.49;5.39;7.21;6.94;4.76;5.62;6.45;5.02;5.72;5.81;9.27;6.80;9.21;8.76;10.95;9.66;10.50;7.39;11.49;11.95;11.26
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.28;3.64;5.17;3.86;4.27;4.30;4.76;4.39;4.81;3.92;4.57;4.42;4.04
&nbspP/Ativos;0.69;0.46;0.55;0.50;0.90;1.22;0.98;1.32;1.24;0.94;0.94;1.00;0.82;0.70;0.65;0.61;0.56;0.60;0.69;0.68;0.77;0.72;0.64
&nbspEbitda;0;0;0;0;0;0;0;0;0;0;5862;5460;10383;12705;10520;10412;12057;14024;14488;17819;18134;17794;17744
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;37%;35%;36%;37%;30%;30%;30%;33%;34%;41%;41%;41%;41%
&nbspPSR;2.31;1.26;1.38;1.11;1.53;1.72;1.28;1.63;1.60;1.17;1.22;1.26;1.84;1.45;1.29;1.28;1.42;1.45;1.61;1.61;1.87;1.82;1.66
&nbspROE;7%;11%;11%;7%;13%;19%;25%;27%;24%;24%;22%;20%;10%;10%;9%;11%;5%;6%;7%;12%;7%;7%;7%
&nbspROA;6%;8%;7%;5%;8%;12%;13%;16%;12%;12%;11%;12%;7%;6%;5%;7%;3%;4%;5%;9%;5%;4%;4%
&nbspROIC;6%;11%;11%;10%;13%;19%;22%;26%;21%;21%;19%;22%;10%;13%;9%;8%;6%;7%;7%;10%;7%;7%;7%
&nbspEV/EBIT;76.65;37.69;34.36;37.73;30.77;23.16;19.69;17.91;21.16;20.82;23.06;21.67;13.31;10.35;15.61;15.05;15.03;12.25;11.80;8.11;11.69;12.36;12.37
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.21;13.58;7.43;5.88;7.23;7.40;6.53;5.56;5.41;4.30;4.65;4.57;4.44
&nbspDiv. Yield;0,00%;0,00%;0,00%;8,28%;20,03%;12,67%;19,13%;12,28%;11,68%;12,73%;7,17%;3,69%;3,93%;5,89%;11,72%;6,87%;10,24%;5,27%;5,83%;9,08%;4,08%;7,85%;6,18%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;68%;83%;123%;78%;122%;50%;108%;73%;80%;46%;123%;110%;115%
&nbspBeta;0.00;0.83;0.78;0.58;0.65;0.81;0.43;0.39;0.57;0.26;0.09;0.22;0.26;0.24;0.39;0.45;0.57;0.70;0.41;0.52;0.48;0.51;0.46
&nbspValorização;71%;-22%;43%;2%;100%;47%;3%;50%;8%;-8%;11%;7%;30%;-3%;-1%;10%;-4%;25%;24%;9%;20%;4%;-7%
&nbspNegócios/dia;50;117;32;26;36;33;36;34;56;69;46;47;46;59;71;77;71;77;105;114;330;1929;12392
&nbspVolume diário;2;6;1;0;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;17;120
