Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.56;2.04;1.89;1.67;2.01;2.07;1.37;0.42;1.42;0.77;-2.82;-2.85
&nbspP/L;13.02;10.68;24.06;19.25;21.05;20.51;17.92;44.02;12.69;21.99;-3.33;-3.84
&nbspVPA;8.85;9.09;9.22;9.77;10.61;16.67;15.32;13.90;15.28;15.68;15.61;17.69
&nbspP/VP;2.29;2.40;4.93;3.30;4.00;2.55;1.61;1.33;1.18;1.08;0.60;0.62
&nbspP/EBIT;7.60;7.73;15.13;13.46;13.55;14.17;14.11;13.90;8.38;9.23;-6.14;-6.44
&nbspP/EBITDA;6.19;6.60;12.67;9.72;9.95;9.77;37.32;8.19;5.73;5.57;-45.01;-19.28
&nbspP/Ativos;1.29;1.32;2.28;1.53;1.82;1.27;0.77;0.64;0.57;0.48;0.23;0.25
&nbspEbitda;168;183;199;184;237;281;43;161;224;217;-15;-40
&nbspMarg. Ebitda;22%;21%;21%;16%;18%;17%;2%;10%;13%;11%;-1%;-2%
&nbspPSR;1.38;1.38;2.70;1.52;1.82;1.68;0.93;0.84;0.74;0.60;0.34;0.40
&nbspROE;18%;22%;21%;17%;19%;12%;9%;3%;9%;5%;-18%;-16%
&nbspROA;10%;12%;9%;8%;9%;6%;4%;1%;4%;2%;-7%;-6%
&nbspROIC;22%;23%;18%;14%;17%;11%;7%;6%;8%;6%;-5%;-5%
&nbspEV/EBIT;6.52;5.71;6.79;8.34;6.59;6.96;11.06;14.11;8.94;11.26;-14.80;-14.36
&nbspEV/EBITDA;5.31;4.87;5.68;6.02;4.84;4.80;29.24;8.32;6.11;6.79;-108.60;-43.00
&nbspDiv. Yield;2,77%;3,81%;3,91%;3,60%;3,18%;2,42%;3,94%;2,00%;5,44%;4,12%;0,00%;0,00%
&nbspDiv. Payout;34%;35%;104%;69%;53%;48%;69%;127%;31%;76%;-22%;-11%
&nbspBeta;0.06;0.41;0.17;0.36;0.40;0.34;0.48;0.72;0.49;0.83;0.96;0.90
&nbspValorização;3%;23%;122%;-24%;36%;3%;-36%;-14%;-1%;-8%;-45%;18%
&nbspNegócios/dia;98;221;776;1156;1624;1922;2281;2253;2512;2278;3611;2811
&nbspVolume diário;3;3;7;10;12;16;13;11;10;8;10;7
