Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.49;1.97;1.76;-1.12;-1.09;-0.17;-0.10;-0.07;0.20;0.78;0.62;0.58;0.13;0.16
&nbspP/L;7.44;13.76;16.22;-1.73;-1.02;-3.82;-3.09;-6.82;12.01;11.71;11.40;15.81;59.50;61.19
&nbspVPA;5.46;6.37;7.56;0.76;0.02;0.18;0.08;0.05;0.28;3.19;3.83;4.42;4.58;4.65
&nbspP/VP;3.39;4.26;3.77;2.55;62.72;3.62;3.64;9.74;8.72;2.85;1.85;2.08;1.75;2.09
&nbspP/EBIT;6.16;8.01;10.45;-2.28;-3.02;-53.51;5.70;8.97;3.70;9.24;10.91;16.04;53.07;45.02
&nbspP/EBITDA;4.86;6.60;6.89;-4.12;53.92;6.64;1.95;3.15;2.38;7.54;8.00;10.16;17.49;16.78
&nbspP/Ativos;0.90;1.18;1.24;0.35;0.23;0.38;0.17;0.28;0.41;2.00;1.32;1.67;1.17;1.40
&nbspEbitda;266;287;289;-132;6;73;114;108;187;297;218;222;112;142
&nbspMarg. Ebitda;16%;18%;15%;-9%;0%;5%;9%;11%;16%;23%;17%;16%;10%;11%
&nbspPSR;0.80;1.19;1.02;0.36;0.21;0.36;0.18;0.35;0.39;1.77;1.40;1.66;1.67;1.91
&nbspROE;46%;31%;23%;-147%;-6.120%;-95%;-118%;-143%;73%;24%;16%;13%;3%;3%
&nbspROA;12%;9%;8%;-20%;-22%;-10%;-6%;-4%;3%;17%;12%;11%;2%;2%
&nbspROIC;17%;18%;13%;-17%;-8%;-1%;3%;3%;12%;26%;13%;11%;3%;4%
&nbspEV/EBIT;14.47;12.85;16.31;-14.54;-32.55;-353.58;79.42;80.53;24.45;9.96;15.06;17.02;67.30;48.86
&nbspEV/EBITDA;11.41;10.59;10.76;-26.23;582.06;43.87;27.14;28.26;15.73;8.13;11.06;10.79;22.19;18.21
&nbspDiv. Yield;0,76%;2,47%;1,37%;5,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;5%;0%;60%;-9%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.35;0.47;0.60;0.61;0.12;0.20;0.01;0.27;0.10;0.82;1.02;0.76;0.91;0.99
&nbspValorização;-26%;51%;16%;-72%;-43%;-38%;-54%;64%;25%;278%;-24%;26%;-11%;23%
&nbspNegócios/dia;6;3;4;8;11;39;10;6;48;407;1741;1666;2916;2145
&nbspVolume diário;0;0;0;0;0;0;0;0;0;2;5;5;6;6
