Unnamed: 0;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.00;0.29;0.73;0.01;-0.07;0.15;-0.21;-1.10;0.63;0.73
&nbspP/L;17.98;25.72;9.36;133.72;-48.93;52.54;-21.28;-10.13;25.71;21.85
&nbspVPA;9.28;3.06;3.65;3.29;2.17;2.29;1.95;0.44;3.74;3.86
&nbspP/VP;1.94;2.45;1.86;0.44;1.66;3.46;2.25;25.11;4.32;4.15
&nbspP/EBIT;4.78;9.10;4.20;2.65;6.52;9.83;16.09;-13.93;15.94;15.79
&nbspP/EBITDA;4.11;8.14;3.87;2.00;4.97;7.53;8.29;-91.28;10.20;10.06
&nbspP/Ativos;0.48;0.72;0.55;0.11;0.27;0.51;0.27;0.59;0.78;0.77
&nbspEbitda;1412;1191;2270;938;936;1361;685;-159;2531;2544
&nbspMarg. Ebitda;6%;6%;10%;5%;5%;5%;3%;-1%;9%;8%
&nbspPSR;0.25;0.53;0.39;0.10;0.23;0.40;0.21;0.57;0.89;0.85
&nbspROE;11%;10%;20%;0%;-3%;7%;-11%;-248%;17%;19%
&nbspROA;3%;3%;6%;0%;-1%;1%;-1%;-6%;3%;4%
&nbspROIC;19%;16%;28%;10%;9%;12%;4%;-7%;7%;7%
&nbspEV/EBIT;21.75;24.03;11.69;32.35;35.20;24.79;73.31;-28.53;19.33;20.57
&nbspEV/EBITDA;18.69;21.52;10.77;24.38;26.82;18.98;37.78;-186.96;12.37;13.11
&nbspDiv. Yield;0,00%;16,25%;0,00%;11,72%;0,00%;0,38%;0,23%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;1%;0%;1.586%;-3%;16%;-6%;0%;0%;0%
&nbspBeta;-0.12;-0.11;-0.66;-0.07;1.07;0.55;1.26;1.03;1.50;1.16
&nbspValorização;-10%;75%;-6%;-80%;201%;110%;-43%;155%;38%;-1%
&nbspNegócios/dia;2;2;4;6;22;74;1424;29126;51628;47044
&nbspVolume diário;0;0;0;0;0;0;5;202;1099;601
