Unnamed: 0;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.66;0.62;0.83;0.95;0.95;0.91;0.86;0.98;1.07;1.36;1.19;0.72;0.70;0.71;0.64;0.78;1.14;0.65
&nbspP/L;11.55;12.09;15.65;26.42;13.22;20.33;25.40;19.15;25.21;22.88;25.66;20.66;22.18;34.11;27.35;44.52;66.31;52.20
&nbspVPA;1.88;2.22;2.51;3.02;3.59;3.84;5.71;6.30;6.70;7.48;6.37;3.82;3.76;4.24;3.74;4.25;5.68;2.95
&nbspP/VP;4.07;3.38;5.17;8.35;3.48;4.79;3.82;2.98;4.03;4.16;4.80;3.92;4.12;5.69;4.69;8.15;13.32;11.48
&nbspP/EBIT;10.96;11.49;15.18;22.46;9.29;18.37;22.48;17.53;20.71;19.12;22.56;20.80;23.52;32.93;24.41;39.36;56.45;44.52
&nbspP/EBITDA;0.00;9.30;0.00;18.34;7.45;13.96;17.21;13.68;16.46;15.72;18.35;16.32;17.79;26.54;20.18;32.41;44.79;36.00
&nbspP/Ativos;1.91;1.40;2.15;3.19;1.34;2.13;1.80;1.28;1.89;1.91;2.09;1.69;1.85;2.78;2.39;4.64;7.98;6.71
&nbspEbitda;0;498;0;849;1036;818;787;851;1017;1230;1345;1478;1407;1466;1824;2245;3549;3946
&nbspMarg. Ebitda;0%;20%;0%;23%;23%;19%;18%;16%;16%;18%;17%;15%;15%;15%;15%;17%;20%;21%
&nbspPSR;2.14;1.84;2.67;4.15;1.71;2.71;3.08;2.24;2.71;2.83;3.15;2.47;2.67;4.09;3.08;5.45;9.10;7.54
&nbspROE;35%;28%;33%;32%;26%;24%;15%;16%;16%;18%;19%;19%;19%;17%;17%;18%;20%;22%
&nbspROA;17%;12%;14%;12%;10%;10%;7%;7%;7%;8%;8%;8%;8%;8%;9%;10%;12%;13%
&nbspROIC;18%;13%;15%;15%;15%;12%;13%;11%;14%;16%;15%;13%;13%;14%;14%;16%;20%;21%
&nbspEV/EBIT;169.00;182.12;138.86;106.46;89.30;118.84;119.46;109.30;89.32;71.10;65.76;62.78;67.37;60.52;47.94;38.39;24.59;22.16
&nbspEV/EBITDA;0.00;147.34;0.00;86.94;71.64;90.33;91.42;85.26;70.98;58.44;53.50;49.25;50.95;48.78;39.63;31.61;19.51;17.91
&nbspDiv. Yield;0,13%;3,73%;2,46%;2,06%;3,84%;2,34%;2,52%;3,04%;2,04%;2,21%;2,35%;3,55%;2,52%;1,49%;1,94%;0,98%;0,54%;1,77%
&nbspDiv. Payout;0%;42%;0%;44%;51%;46%;63%;49%;48%;46%;48%;44%;47%;48%;45%;42%;37%;46%
&nbspBeta;-2.58;0.15;1.16;0.52;0.77;0.52;0.54;0.61;0.22;0.26;0.17;0.33;0.70;0.73;0.57;0.81;0.84;0.88
&nbspValorização;11%;-7%;59%;82%;-49%;48%;23%;-12%;48%;14%;34%;-1%;9%;63%;-7%;96%;116%;-9%
&nbspNegócios/dia;3;3;2;299;450;465;599;796;1079;2166;2569;5481;8921;7324;10183;12035;25187;28091
&nbspVolume diário;0;0;0;9;8;6;7;7;10;15;19;28;34;37;52;74;337;419
