Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.26;0.42;0.25;0.41;0.55;0.48;0.19;0.21;0.28;0.12;1.18;0.48;0.54
&nbspP/L;13.62;8.87;13.66;8.05;7.61;8.29;12.05;15.17;17.52;43.80;8.67;17.17;15.08
&nbspVPA;1.15;1.14;1.21;1.42;1.64;1.42;1.67;1.69;1.58;1.46;2.01;1.28;1.46
&nbspP/VP;3.03;3.29;2.81;2.33;2.54;2.78;1.41;1.88;3.16;3.50;5.10;6.36;5.53
&nbspP/EBIT;11.38;7.42;14.11;5.70;5.85;5.63;8.53;15.77;19.33;32.07;21.79;12.53;11.24
&nbspP/EBITDA;8.45;6.35;9.88;4.83;5.08;4.90;6.03;9.75;12.61;18.76;17.96;10.87;9.86
&nbspP/Ativos;1.20;1.16;0.97;0.83;0.95;0.96;0.54;0.73;1.09;0.99;2.02;1.73;1.58
&nbspEbitda;621;890;516;1030;1230;1212;585;492;595;408;858;1129;1235
&nbspMarg. Ebitda;9%;12%;7%;12%;13%;13%;6%;5%;6%;7%;11%;12%;12%
&nbspPSR;0.79;0.77;0.68;0.59;0.67;0.61;0.38;0.52;0.79;1.24;1.99;1.32;1.22
&nbspROE;22%;37%;21%;29%;33%;34%;12%;12%;18%;8%;59%;37%;37%
&nbspROA;9%;13%;7%;10%;12%;12%;4%;5%;6%;2%;23%;10%;10%
&nbspROIC;20%;28%;13%;27%;35%;35%;11%;9%;12%;5%;20%;53%;61%
&nbspEV/EBIT;25.68;15.55;32.32;13.74;10.69;11.14;28.88;38.91;29.18;49.12;15.86;10.87;9.40
&nbspEV/EBITDA;19.08;13.32;22.62;11.64;9.28;9.68;20.43;24.05;19.04;28.74;13.07;9.43;8.25
&nbspDiv. Yield;8,60%;11,70%;5,01%;6,65%;9,38%;20,00%;5,96%;0,00%;11,22%;2,94%;5,56%;16,30%;5,93%
&nbspDiv. Payout;108%;99%;67%;54%;68%;155%;71%;1%;183%;120%;45%;81%;71%
&nbspBeta;0.42;0.41;0.46;0.00;0.36;0.37;0.11;0.32;0.04;0.28;0.37;0.63;0.27
&nbspValorização;47%;22%;-5%;6%;25%;20%;-34%;33%;80%;5%;124%;-8%;4%
&nbspNegócios/dia;17;8;7;9;17;22;31;15;8;7;56;170;103
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0
