Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;1.03;1.16;1.41;1.26;1.34
&nbspP/L;11.43;6.03;10.04;6.36;13.26
&nbspVPA;1.04;1.10;1.23;1.86;2.25
&nbspP/VP;11.22;6.37;11.52;4.33;7.88
&nbspP/EBIT;7.59;3.72;6.10;3.94;8.11
&nbspP/EBITDA;6.99;0.00;0.00;0.00;0.00
&nbspP/Ativos;3.06;2.33;3.85;1.34;2.97
&nbspEbitda;268;0;0;0;0
&nbspMarg. Ebitda;51%;0%;0%;0%;0%
&nbspPSR;3.54;1.92;3.32;1.60;3.31
&nbspROE;98%;106%;115%;68%;59%
&nbspROA;27%;39%;38%;21%;22%
&nbspROIC;46%;76%;74%;50%;56%
&nbspEV/EBIT;10.47;8.51;6.94;7.23;7.12
&nbspEV/EBITDA;9.65;0.00;0.00;0.00;0.00
&nbspDiv. Yield;4,18%;7,42%;7,86%;8,21%;3,44%
&nbspDiv. Payout;72%;0%;0%;0%;0%
&nbspBeta;0.70;0.24;0.34;0.89;0.45
&nbspValorização;-38%;-41%;115%;-41%;140%
&nbspNegócios/dia;3584;2404;2675;3952;7675
&nbspVolume diário;19;7;7;10;31
