Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.55;2.22;1.64;1.01;1.38;1.48;1.42;1.56;4.13;3.30;2.33;1.73;1.67;2.50
&nbspP/L;7.08;9.67;19.46;25.10;23.22;20.95;22.54;21.15;8.11;12.12;17.17;25.95;27.03;26.26
&nbspVPA;10.91;10.36;10.88;12.58;14.38;17.02;19.16;23.81;23.66;25.43;28.06;28.14;31.16;33.89
&nbspP/VP;1.00;2.07;2.94;2.02;2.22;1.82;1.67;1.39;1.42;1.57;1.43;1.59;1.45;1.93
&nbspP/EBIT;3.32;9.04;13.88;9.27;13.16;7.41;8.49;5.84;6.29;7.54;7.77;10.78;8.17;9.96
&nbspP/EBITDA;2.63;6.84;9.63;5.90;7.35;5.07;5.75;4.08;4.25;5.08;4.99;6.29;4.94;6.34
&nbspP/Ativos;0.55;1.09;1.46;0.85;0.89;0.87;0.81;0.63;0.71;0.83;0.77;0.69;0.60;0.83
&nbspEbitda;297;224;236;306;310;434;396;576;561;561;571;507;656;742
&nbspMarg. Ebitda;25%;27%;25%;23%;23%;28%;27%;34%;35%;35%;34%;32%;36%;39%
&nbspPSR;0.67;1.84;2.38;1.38;1.73;1.42;1.53;1.40;1.50;1.80;1.70;1.99;1.79;2.45
&nbspROE;14%;21%;15%;8%;10%;9%;7%;7%;17%;13%;8%;6%;5%;7%
&nbspROA;8%;11%;7%;3%;4%;4%;4%;3%;9%;7%;5%;3%;2%;3%
&nbspROIC;27%;18%;15%;12%;9%;16%;12%;14%;14%;13%;11%;7%;9%;10%
&nbspEV/EBIT;19.99;28.47;30.24;27.38;32.11;17.70;20.32;13.91;14.62;14.50;15.26;21.94;17.04;14.55
&nbspEV/EBITDA;15.84;21.53;20.99;17.44;17.94;12.12;13.77;9.72;9.88;9.77;9.81;12.80;10.31;9.26
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;1,53%;1,65%;0,00%;3,73%;5,28%;4,12%;4,68%;0,00%;0,00%;0,00%
&nbspDiv. Payout;34%;17%;34%;46%;37%;47%;63%;85%;43%;52%;84%;127%;181%;122%
&nbspBeta;0.36;0.11;0.41;0.25;0.15;0.24;0.21;0.06;-0.01;0.23;0.14;0.33;0.57;0.21
&nbspValorização;-58%;91%;49%;-23%;28%;-5%;2%;12%;7%;27%;8%;13%;-2%;46%
&nbspNegócios/dia;27;22;45;30;19;27;45;40;16;22;26;75;246;1500
&nbspVolume diário;1;1;2;1;1;1;1;1;1;1;2;2;3;2
