Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.48;0.83;0.99;0.87;1.35;0.84;1.36;1.58;1.20;1.37;2.09;2.10;0.32;-0.08
&nbspP/L;25.85;29.98;27.34;20.78;30.87;24.34;17.46;8.85;13.21;23.90;11.35;22.66;102.78;-396.94
&nbspVPA;5.36;5.83;7.13;7.54;8.61;5.17;7.64;8.71;7.89;8.97;8.38;10.04;10.37;10.54
&nbspP/VP;2.33;4.26;3.79;2.39;4.85;3.95;3.12;1.60;2.00;3.66;2.83;4.73;3.18;3.17
&nbspP/EBIT;49.12;35.43;36.30;18.21;22.99;23.95;17.51;8.32;10.62;18.70;9.50;16.29;28.50;38.08
&nbspP/EBITDA;15.17;20.54;24.01;11.99;16.38;18.97;14.02;6.32;18.24;13.77;7.59;11.64;11.36;11.85
&nbspP/Ativos;1.55;2.94;2.75;1.38;2.77;2.80;2.12;0.98;1.18;2.53;1.79;2.66;1.10;1.07
&nbspEbitda;65;95;92;123;209;316;532;680;267;738;967;1261;895;871
&nbspMarg. Ebitda;7%;9%;9%;11%;15%;18%;22%;23%;8%;22%;27%;35%;23%;22%
&nbspPSR;1.00;1.93;2.18;1.28;2.48;3.46;3.10;1.46;1.53;3.01;2.03;4.12;2.64;2.57
&nbspROE;9%;14%;14%;11%;16%;16%;18%;18%;15%;15%;25%;21%;3%;-1%
&nbspROA;6%;10%;10%;7%;9%;12%;12%;11%;9%;11%;16%;12%;1%;0%
&nbspROIC;3%;9%;10%;9%;14%;18%;15%;14%;13%;16%;24%;19%;5%;4%
&nbspEV/EBIT;526.16;191.22;169.77;130.83;71.48;40.19;24.38;21.06;24.25;19.44;13.60;12.82;38.47;50.46
&nbspEV/EBITDA;162.50;110.83;112.27;86.13;50.91;31.82;19.52;15.99;41.65;14.31;10.87;9.16;15.34;15.70
&nbspDiv. Yield;0,48%;0,93%;1,44%;2,61%;0,48%;1,32%;0,84%;2,37%;10,89%;0,85%;6,99%;1,07%;1,55%;1,41%
&nbspDiv. Payout;34%;26%;37%;54%;14%;11%;14%;21%;145%;20%;77%;24%;155%;-588%
&nbspBeta;0.47;0.37;0.36;0.60;0.40;0.33;0.53;0.93;0.97;1.24;1.08;1.11;1.09;1.16
&nbspValorização;-47%;102%;14%;-31%;135%;51%;19%;-36%;25%;116%;-29%;95%;-28%;0%
&nbspNegócios/dia;45;44;152;390;890;4928;9987;8561;8136;10299;14422;12196;17596;13076
&nbspVolume diário;3;1;4;5;12;44;78;47;36;69;99;91;128;96
